Sample,,,,,,,,,LacCer d18:2/16:0 [SphB] Results,,,,Ga2 d18:2/16:0 [SphB] Results,,,,Hex2Cer d18:1/16:0 [SphB] Results,,,,Hex2Cer d18:1/16:0 [SphB+H2O] Results,,,,Hex2Cer d18:1/16:0 d3 (IS) [SphB] Results,,,,Hex2Cer d18:1/16:0 d3 (IS) [SphB+H2O] Results,,,,Hex2Cer d18:1/18:0 (b) [SphB] Results,,,,Ga2 d18:1/20:0 [SphB] Results,,,,LacCer d18:1/20:0 [SphB] Results,,,,Hex2Cer d18:1/20:0-OH [SphB] Results,,,,LacCer d18:2/22:0 [SphB] Results,,,,Ga2 d18:2/22:0 [SphB] Results,,,,Hex2Cer d18:1/22:1 [SphB] Results,,,,Hex2Cer d18:1/22:0 [SphB] Results,,,,Hex2Cer d18:1/22:0 [SphB+H2O] Results,,,,Hex2Cer d18:1/22:0-OH [SphB] Results,,,,LacCer d18:2/24:1 [SphB] Results,,,,Ga2 d18:2/24:1 [SphB] Results,,,,Hex2Cer d18:1/24:2 [SphB] Results,,,,LacCer d18:2/24:0 [SphB] Results,,,,Ga2 d18:2/24:0 [SphB] Results,,,,Hex2Cer d18:1/24:1 [SphB] Results,,,,Hex2Cer d18:1/24:0 [SphB] Results,,,,Hex2Cer d18:1/24:0 [SphB+H2O] Results,,,,Hex2Cer d18:1/24:0-OH [SphB] Results,,,
,,Name,Data File,Type,Level,Acq. Date-Time,Vol.,Pos.,RT,Area,FWHM,Width,RT,Area,FWHM,Width,RT,Area,FWHM,Width,RT,Area,FWHM,Width,RT,Area,FWHM,Width,RT,Area,FWHM,Width,RT,Area,FWHM,Width,RT,Area,FWHM,Width,RT,Area,FWHM,Width,RT,Area,FWHM,Width,RT,Area,FWHM,Width,RT,Area,FWHM,Width,RT,Area,FWHM,Width,RT,Area,FWHM,Width,RT,Area,FWHM,Width,RT,Area,FWHM,Width,RT,Area,FWHM,Width,RT,Area,FWHM,Width,RT,Area,FWHM,Width,RT,Area,FWHM,Width,RT,Area,FWHM,Width,RT,Area,FWHM,Width,RT,Area,FWHM,Width,RT,Area,FWHM,Width,RT,Area,FWHM,Width
,!,01_P24004_Serum-Ga2-LGa2_PBLK_PBLK1,01_P24004_Serum-Ga2-LGa2_PBLK_PBLK1.d,Sample,,25/4/2024 20:30,0.75,P1-F8,3.75,18,0.056,0.164,4.49,2,0.235,0.249,2.931,39,0.19,0.185,3.799,26,0.055,0.094,3.557,14,0.056,0.132,3.628,94,0.17,0.255,4.269,18,0.077,0.1,3.792,5,0.055,0.094,3.621,4,0.056,0.121,0.944,44,0.065,0.163,3.386,16,0.056,0.225,4.005,29,0.071,0.118,3.592,33,0.114,0.158,3.293,5,0.049,0.088,3.229,89,0.079,0.153,1.107,30,0.07,0.1,3.378,41,0.144,0.214,3.89,19,0.066,0.151,3.356,13,0.059,0.195,3.321,6,0.07,0.164,3.748,2,0.186,0.256,3.349,36,0.082,0.147,3.37,26,0.083,0.199,3.498,22,0.061,0.168,4.416,19,0.056,0.117
,!,02_P24004_Serum-Ga2-LGa2_TQC_TQC0,02_P24004_Serum-Ga2-LGa2_TQC_TQC0.d,Sample,,25/4/2024 20:47,0.75,P1-F4,3.793,41253,0.136,0.612,4.398,558,0.098,0.256,3.771,490160,0.138,0.698,3.771,53487,0.143,0.698,3.771,5713,0.134,0.513,3.749,905,0.185,0.441,4.675,32,0.055,0.114,3.934,66,0.1,0.1,3.564,3931,0.146,0.464,1.008,816,0.125,0.27,3.457,5156,0.136,0.448,3.998,468,0.311,0.306,3.464,3849,0.152,0.356,3.464,17649,0.144,0.506,3.464,2855,0.177,0.562,1.107,1019,0.102,0.52,3.406,12372,0.135,0.47,3.926,666,0.131,0.221,3.442,11241,0.151,0.584,3.377,5247,0.143,0.491,3.897,347,0.121,0.256,3.406,70257,0.139,0.605,3.384,22691,0.158,0.619,3.377,2329,0.157,0.482,4.373,65,0.069,0.148
,,03_P24004_Serum-Ga2-LGa2_TQC_TQC0,03_P24004_Serum-Ga2-LGa2_TQC_TQC0.d,Sample,,25/4/2024 21:03,0.75,P1-F4,3.814,54425,0.137,0.634,4.405,646,0.121,0.235,3.8,649620,0.143,0.698,3.8,69142,0.145,0.698,3.799,6840,0.145,0.555,3.799,815,0.162,0.317,4.24,248,0.091,0.157,3.92,264,0.185,0.164,3.585,5268,0.154,0.477,0.952,1288,0.263,0.349,3.478,6274,0.142,0.463,4.026,582,0.116,0.278,3.492,6345,0.155,0.662,3.485,23791,0.146,0.648,3.492,3026,0.153,0.591,1.1,670,0.075,0.268,3.428,17229,0.143,0.513,3.947,1097,0.216,0.27,3.456,14070,0.144,0.448,3.392,6851,0.142,0.456,3.876,382,0.111,0.327,3.434,92242,0.149,0.62,3.399,30538,0.171,0.797,3.413,3206,0.164,0.527,4.502,193,0.138,0.354
,,04_P24004_Serum-Ga2-LGa2_TQC_TQC0,04_P24004_Serum-Ga2-LGa2_TQC_TQC0.d,Sample,,25/4/2024 21:20,0.75,P1-F4,3.807,64606,0.146,0.676,4.405,1190,0.118,0.27,3.785,754746,0.147,0.74,3.785,83813,0.145,0.698,3.785,8514,0.148,0.584,3.821,1075,0.209,0.498,4.262,871,0.148,0.285,3.87,355,0.1,0.121,3.571,5995,0.153,0.441,0.987,809,0.128,0.21,3.471,7523,0.142,0.505,4.019,595,0.162,0.399,3.485,6084,0.165,0.441,3.478,27018,0.162,0.612,3.499,2524,0.119,0.352,1.114,957,0.1,0.306,3.42,18270,0.15,0.477,3.954,1263,0.16,0.242,3.456,16480,0.148,0.569,3.377,7733,0.158,0.513,3.904,308,0.128,0.242,3.42,109822,0.143,0.705,3.399,33060,0.176,0.676,3.405,3705,0.134,0.646,4.309,48,0.086,0.093
,,05_P24004_Serum-Ga2-LGa2_TQC_TQC0,05_P24004_Serum-Ga2-LGa2_TQC_TQC0.d,Sample,,25/4/2024 21:36,0.75,P1-F4,3.835,65311,0.143,0.698,4.419,439,0.111,0.192,3.821,761664,0.148,0.712,3.821,85506,0.147,0.698,3.821,8415,0.14,0.484,3.828,937,0.139,0.367,4.127,555,0.146,0.142,4.041,414,0.249,0.214,3.607,6012,0.149,0.505,1.016,717,0.151,0.283,3.5,7872,0.144,0.584,4.026,482,0.15,0.299,3.521,6143,0.156,0.641,3.506,27187,0.154,0.595,3.513,3450,0.176,0.591,1.114,966,0.095,0.306,3.442,19982,0.149,0.513,3.969,2097,0.239,0.399,3.47,16477,0.142,0.478,3.413,7462,0.155,0.463,3.933,673,0.153,0.349,3.449,109996,0.145,0.712,3.434,33610,0.175,0.578,3.434,3787,0.165,0.477,4.316,65,0.165,0.249
,,06_P24004_Serum-Ga2-LGa2_LTR-LTR1,06_P24004_Serum-Ga2-LGa2_LTR-LTR1.d,Sample,,25/4/2024 21:53,0.75,P1-A1,3.857,35811,0.149,0.626,4.512,284,0.135,0.206,3.835,431853,0.142,0.697,3.835,47878,0.146,0.688,3.835,4324,0.153,0.484,3.849,660,0.158,0.365,4.169,641,0.318,0.349,3.984,61,0.085,0.071,3.628,2426,0.159,0.327,0.994,219,0.089,0.15,3.5,3919,0.149,0.541,4.062,490,0.135,0.342,3.514,3118,0.17,0.625,3.528,12441,0.146,0.501,3.521,1592,0.181,0.55,1.107,491,0.137,0.292,3.449,8884,0.142,0.591,3.954,159,0.077,0.142,3.492,13892,0.145,0.641,3.42,4131,0.149,0.377,3.954,388,0.087,0.327,3.463,49296,0.142,0.656,3.434,15240,0.156,0.534,3.441,1986,0.193,0.508,4.309,44,0.109,0.121
,!,07_P24004_Serum-Ga2-LGa2_NIST_NIST1,07_P24004_Serum-Ga2-LGa2_NIST_NIST1.d,Sample,,25/4/2024 22:09,0.75,P1-A2,3.871,16869,0.141,0.662,4.519,178,0.071,0.199,3.857,190308,0.139,0.662,3.849,20795,0.138,0.633,3.849,2063,0.161,0.441,3.813,195,0.24,0.302,4.255,154,0.127,0.185,3.906,62,0.07,0.114,3.628,1373,0.153,0.356,0.951,191,0.1,0.147,3.514,1720,0.15,0.413,4.019,183,0.126,0.228,3.571,2201,0.139,0.513,3.549,6481,0.161,0.669,3.542,478,0.111,0.243,1.093,131,0.089,0.142,3.485,4276,0.136,0.612,4.104,273,0.18,0.37,3.513,6115,0.135,0.427,3.456,2097,0.158,0.42,3.883,95,0.183,0.157,3.484,22148,0.144,0.534,3.455,7283,0.156,0.491,3.434,668,0.132,0.249,4.409,14,0.042,0.072
,!,08_P24004_Serum-Ga2-LGa2_REF_UrineQC,08_P24004_Serum-Ga2-LGa2_REF_UrineQC.d,Sample,,25/4/2024 22:25,0.75,P2-F1,3.821,25,0.084,0.121,4.391,27,0.22,0.199,3.664,80,0.159,0.235,3.849,69,0.065,0.302,3.707,20,0.084,0.124,3.821,117,0.197,0.26,4.191,41,0.101,0.24,3.97,28,0.102,0.171,3.621,7,0.059,0.104,0.994,49,0.07,0.214,3.564,28,0.076,0.092,4.041,22,0.083,0.093,3.564,28,0.119,0.149,3.464,24,0.061,0.089,3.57,119,0.064,0.211,1.178,29,0.068,0.107,3.47,19,0.052,0.118,3.969,3,0.048,0.085,3.406,24,0.06,0.149,3.498,14,0.068,0.135,3.961,18,0.063,0.206,3.32,12,0.055,0.106,3.349,10,0.054,0.107,3.391,15,0.057,0.102,4.38,31,0.074,0.135
,!,09_P24004_Serum-Ga2-LGa2_BQC_BQC01,09_P24004_Serum-Ga2-LGa2_BQC_BQC01.d,Sample,,25/4/2024 22:42,0.75,P1-A3,3.899,51094,0.136,0.662,4.533,754,0.122,0.235,3.878,658614,0.142,0.705,3.878,72661,0.145,0.712,3.87,6767,0.136,0.37,3.699,88,0.181,0.278,4.546,388,0.16,0.256,4.24,292,0.176,0.278,3.664,6076,0.152,0.667,1.001,1076,0.116,0.199,3.549,6835,0.138,0.491,4.133,563,0.302,0.249,3.585,5394,0.141,0.42,3.556,27603,0.141,0.705,3.563,3584,0.19,0.498,1.107,796,0.076,0.24,3.506,14829,0.143,0.453,3.855,47,0.05,0.078,3.527,15146,0.134,0.541,3.463,6411,0.156,0.577,4.011,684,0.168,0.327,3.498,101359,0.143,0.541,3.47,32218,0.152,0.591,3.477,3224,0.177,0.427,4.601,188,0.22,0.273
,,10_P24004_Serum-Ga2-LGa2_BQC_BQC02,10_P24004_Serum-Ga2-LGa2_BQC_BQC02.d,Sample,,25/4/2024 22:59,0.75,P1-A4,3.885,46221,0.133,0.648,4.497,648,0.113,0.256,3.871,518937,0.14,0.655,3.871,56774,0.143,0.698,3.871,5477,0.152,0.562,3.7,83,0.173,0.211,4.34,60,0.075,0.122,3.956,84,0.1,0.085,3.657,4111,0.133,0.42,1.001,829,0.147,0.214,3.542,5749,0.147,0.562,4.091,455,0.19,0.242,3.564,4637,0.151,0.52,3.549,20805,0.147,0.733,3.585,1934,0.17,0.501,1.1,762,0.091,0.292,3.492,13853,0.143,0.534,3.997,1254,0.272,0.413,3.527,12208,0.137,0.577,3.449,5357,0.17,0.484,3.961,343,0.21,0.327,3.498,72200,0.144,0.6,3.47,23060,0.153,0.435,3.484,2025,0.163,0.299,4.373,34,0.09,0.107
