Sample,,,,,,,13C2D2_S1P [113] Results,,,13C2D2_S1P [60] Results,,,S1P d16:1 [113] Results,,,S1P d16:1 [60] Results,,,S1P d17:1 [113] Results,,,S1P d17:1 [60] Results,,,S1P d18:0 [113] Results,,,S1P d18:0 [60] Results,,,S1P d18:1 [113] Results,,,S1P d18:1 [60] Results,,,S1P d18:2 [113] Results,,,S1P d18:2 [60] Results,,,S1P d19:1 [113] Results,,,S1P d19:1 [60] Results,,
,,Name,Data File,Type,Level,Acq. Date-Time,Area,FWHM,RT,Area,FWHM,RT,Area,FWHM,RT,Area,FWHM,RT,Area,FWHM,RT,Area,FWHM,RT,Area,FWHM,RT,Area,FWHM,RT,Area,FWHM,RT,Area,FWHM,RT,Area,FWHM,RT,Area,FWHM,RT,Area,FWHM,RT,Area,FWHM,RT
!,!,BLK,001_EqS1PE_BLK.d,Sample,,15/11/2016 12:07 PM,514,0.340,3.820,353,0.143,3.714,1261,0.091,4.036,97,0.063,3.613,18320,0.342,4.292,129,0.093,3.687,187,0.037,3.412,47,0.047,3.624,27522,0.365,4.396,24,0.049,3.685,127,0.090,2.717,54,0.055,2.808,32458,0.213,4.227,575,0.066,3.849
!,!,BLK,002_EqS1PE_BLK.d,Sample,,15/11/2016 12:17 PM,57,0.037,3.759,254,0.091,3.714,2700,0.134,4.626,32,0.044,3.613,280,0.051,4.140,32,0.010,3.717,113,0.043,3.669,24,0.028,3.578,247,0.074,3.942,182,0.076,3.670,66,0.065,2.838,30,0.316,2.989,50,0.048,3.637,771,0.235,3.970
!,!,BLK,003_EqS1PE_BLK.d,Sample,,15/11/2016 12:26 PM,26230,0.048,3.638,112349,0.047,3.638,1663,0.057,3.688,7495,0.067,3.688,9184,0.079,3.717,3610,0.101,3.656,27063,0.049,3.593,45226,0.053,3.609,39617,0.048,3.624,163819,0.048,3.639,7210,0.052,2.097,20891,0.061,2.778,898,0.045,3.607,6974,0.047,3.607
,!,S1P eq,004_EqS1PE_E1-S1P_QC.d,Sample,,15/11/2016 12:36 PM,20422,0.047,3.653,91796,0.046,3.653,618,0.049,3.718,4565,0.076,3.718,8322,0.069,3.747,2791,0.055,3.687,22750,0.048,3.624,34319,0.049,3.624,25782,0.047,3.654,135333,0.046,3.654,1505,0.077,2.808,19062,0.064,2.793,1500,0.051,3.622,5358,0.047,3.637
,!,S1P eq,005_EqS1PE_E1-S1P_QC.d,Sample,,15/11/2016 12:46 PM,17636,0.050,3.653,94451,0.048,3.653,566,0.045,3.718,4634,0.078,3.718,6032,0.076,3.762,2388,0.097,3.687,19072,0.047,3.624,36381,0.048,3.624,26387,0.046,3.654,104205,0.047,3.654,674,0.048,2.823,16383,0.061,2.793,991,0.047,3.637,4791,0.047,3.637
,!,S1P eq,006_EqS1PE_E1-S1P_QC.d,Sample,,15/11/2016 12:55 PM,17205,0.048,3.669,89778,0.047,3.669,630,0.046,3.734,4220,0.068,3.734,7256,0.072,3.777,2557,0.052,3.702,17790,0.048,3.639,33256,0.047,3.639,24756,0.046,3.670,105178,0.046,3.670,1543,0.056,2.838,15386,0.066,2.808,1201,0.053,3.668,4226,0.048,3.652
,!,S1P eq,007_EqS1PE_E1-S1P_QC.d,Sample,,15/11/2016 1:05 PM,17058,0.047,3.669,82044,0.047,3.669,582,0.044,3.734,4345,0.072,3.718,7284,0.082,3.762,2384,0.048,3.702,19478,0.047,3.639,31771,0.049,3.639,27692,0.046,3.670,105254,0.046,3.670,1289,0.066,2.823,15202,0.067,2.808,924,0.049,3.652,4125,0.048,3.652
,!,S1P eq,007_EqS1PE_E1-S1P_QC_4uL.d,Sample,,15/11/2016 1:38 PM,18697,0.047,3.699,93925,0.047,3.699,631,0.038,3.749,4448,0.057,3.749,6231,0.087,3.808,2723,0.052,3.717,16962,0.047,3.654,33391,0.051,3.654,25594,0.049,3.685,128414,0.047,3.685,2123,0.086,2.883,15073,0.067,2.853,888,0.047,3.667,4788,0.048,3.667
,!,S1P eq,007_EqS1PE_E1-S1P_QC_1uL.d,Sample,,15/11/2016 1:58 PM,13615,0.047,3.669,75225,0.046,3.669,697,0.053,3.734,3652,0.057,3.718,5018,0.085,3.777,2223,0.051,3.702,17434,0.047,3.639,28634,0.049,3.639,23355,0.046,3.670,97077,0.046,3.670,1489,0.093,2.853,14385,0.063,2.823,507,0.053,3.652,3514,0.048,3.652
,!,S1P eq,007_EqS1PE_E1-S1P_QC_0.5uL.d,Sample,,15/11/2016 2:08 PM,8963,0.047,3.653,37727,0.046,3.653,243,0.042,3.718,1882,0.056,3.703,3197,0.063,3.762,1146,0.059,3.687,8737,0.049,3.624,16505,0.050,3.624,13243,0.047,3.654,59104,0.047,3.654,912,0.082,2.793,10075,0.069,2.793,471,0.060,3.622,2350,0.050,3.622
!,!,BLK,01_FabryP1_BLK_S1P.d,Sample,,15/11/2016 7:31 PM,131,0.055,3.694,452,0.062,3.701,148,0.064,3.839,60,0.116,3.741,2614,0.192,3.824,169,0.077,3.866,77,0.059,3.709,29,0.049,3.660,755,0.108,3.731,124,0.147,3.682,17,0.046,2.693,24,0.153,2.909,499,0.112,3.826,15,0.042,3.561
,!,QC_E1-6_S1P,02_FabryP1_QC_E1-6_S1P.d,Sample,,15/11/2016 7:42 PM,16940,0.053,3.666,83735,0.052,3.666,647,0.049,3.731,4163,0.060,3.719,6382,0.074,3.779,2674,0.057,3.693,18382,0.054,3.630,31504,0.054,3.636,23743,0.053,3.661,111385,0.052,3.661,1641,0.065,2.833,15184,0.064,2.815,1245,0.056,3.640,4216,0.054,3.640
,!,QC_E1-6_S1P,03_FabryP1_QC_E1-6_S1P.d,Sample,,15/11/2016 7:53 PM,17141,0.053,3.678,74464,0.053,3.678,733,0.053,3.743,4309,0.062,3.731,5978,0.077,3.791,2253,0.059,3.706,17133,0.053,3.648,29771,0.054,3.648,24211,0.052,3.680,109389,0.052,3.680,1654,0.080,2.845,15972,0.065,2.827,821,0.055,3.659,3780,0.054,3.659
,!,QC_E1-6_S1P,04_FabryP1_QC_E1-6_S1P.d,Sample,,15/11/2016 8:03 PM,15762,0.053,3.684,75702,0.052,3.684,831,0.056,3.737,4020,0.062,3.731,5331,0.075,3.791,2411,0.059,3.712,17110,0.053,3.648,31024,0.055,3.648,24744,0.053,3.680,102290,0.052,3.680,1604,0.074,2.833,15306,0.063,2.821,899,0.056,3.665,4493,0.053,3.659
,!,QC_E1-6_S1P,05_FabryP1_QC_E1-6_S1P.d,Sample,,15/11/2016 8:14 PM,16521,0.053,3.690,73428,0.052,3.690,808,0.055,3.749,4027,0.061,3.737,5836,0.076,3.803,2569,0.061,3.718,16957,0.053,3.654,31028,0.055,3.654,23028,0.053,3.686,97511,0.053,3.686,951,0.063,2.839,14774,0.067,2.827,1034,0.057,3.665,3908,0.054,3.665
,!,QC_E1-6_S1P,06_FabryP1_QC_E1-6_S1P.d,Sample,,15/11/2016 8:25 PM,15978,0.053,3.684,75343,0.052,3.684,651,0.053,3.749,4116,0.059,3.731,5716,0.075,3.797,2502,0.058,3.712,17666,0.053,3.648,32067,0.054,3.648,24981,0.053,3.680,106764,0.052,3.680,959,0.073,2.839,16090,0.064,2.827,1079,0.059,3.659,4147,0.053,3.659
,!,QC_E1-6_S1P,07_FabryP1_QC_E1-6_S1P.d,Sample,,15/11/2016 8:35 PM,16915,0.053,3.684,74466,0.053,3.684,961,0.057,3.749,4098,0.060,3.737,6117,0.076,3.803,2711,0.057,3.718,16610,0.054,3.654,31731,0.054,3.654,23703,0.052,3.686,103441,0.052,3.686,1045,0.072,2.845,15147,0.065,2.827,919,0.055,3.665,4344,0.054,3.659
,!,QC_E1-6_S1P,08_FabryP1_QC_E1-6_S1P.d,Sample,,15/11/2016 8:46 PM,16618,0.053,3.684,72683,0.053,3.684,504,0.048,3.743,3829,0.061,3.737,4907,0.079,3.791,2449,0.057,3.712,16756,0.053,3.648,28508,0.055,3.648,24435,0.052,3.680,102401,0.053,3.680,766,0.063,2.857,14523,0.064,2.827,941,0.060,3.665,3967,0.053,3.659
,!,QC_E1-6_S1P,09_FabryP1_QC_E1-6_S1P.d,Sample,,15/11/2016 8:56 PM,15836,0.053,3.684,72719,0.052,3.684,632,0.055,3.743,4151,0.060,3.737,6204,0.074,3.797,2433,0.058,3.712,17656,0.053,3.648,29257,0.055,3.648,24132,0.053,3.680,103530,0.052,3.680,1095,0.076,2.839,15395,0.063,2.827,895,0.054,3.659,3977,0.053,3.659
,!,QC_E1-6_S1P,10_FabryP1_QC_E1-6_S1P.d,Sample,,15/11/2016 9:07 PM,16816,0.053,3.684,75685,0.053,3.684,461,0.052,3.749,4364,0.059,3.737,4964,0.073,3.803,2609,0.061,3.712,16653,0.054,3.648,29692,0.055,3.654,23390,0.053,3.680,104442,0.052,3.680,1157,0.072,2.833,14824,0.065,2.827,938,0.054,3.665,4201,0.054,3.659
,!,QC_E1-6_S1P,11_FabryP1_QC_E1-6_S1P.d,Sample,,15/11/2016 9:18 PM,15086,0.054,3.684,71280,0.053,3.684,969,0.057,3.743,3778,0.060,3.737,5638,0.080,3.797,2307,0.058,3.712,16144,0.053,3.648,28735,0.055,3.654,23969,0.053,3.680,96440,0.052,3.680,903,0.064,2.851,14972,0.066,2.827,914,0.057,3.665,4206,0.053,3.659
