Sample,,,,,,,13C2D2_S1P [113] Results,,,13C2D2_S1P [60] Results,,,LPC Results,,,S1P d16:1 [113] Results,,,S1P d16:1 [60] Results,,,S1P d17:1 [113] Results,,,S1P d17:1 [60] Results,,,S1P d18:0 [113] Results,,,S1P d18:0 [60] Results,,,S1P d18:1 [113] Results,,,S1P d18:1 [60] Results,,,S1P d18:2 [113] Results,,,S1P d18:2 [60] Results,,,S1P d19:1 [113] Results,,,S1P d19:1 [60] Results,,,S1P d20:1 [113] Results,,,S1P d20:1 [60] Results,,
,,Name,Data File,Type,Level,Acq. Date-Time,Area,FWHM,RT,Area,FWHM,RT,Area,FWHM,RT,Area,FWHM,RT,Area,FWHM,RT,Area,FWHM,RT,Area,FWHM,RT,Area,FWHM,RT,Area,FWHM,RT,Area,FWHM,RT,Area,FWHM,RT,Area,FWHM,RT,Area,FWHM,RT,Area,FWHM,RT,Area,FWHM,RT,Area,FWHM,RT,Area,FWHM,RT
,!,000A_Plasma_S1P-3uL_TQC_01,000A_Plasma_S1P-3uL_TQC_01.d,Sample,,5/3/2017 6:55 PM,27779,0.062,3.477,78406,0.061,3.470,15127198,0.069,3.623,4633,0.060,3.526,14591,0.060,3.533,2126,0.064,3.503,4483,0.061,3.503,14166,0.061,3.448,21043,0.063,3.448,33627,0.061,3.472,106501,0.061,3.472,10918,0.061,3.502,34797,0.061,3.502,843,0.066,3.447,3537,0.062,3.447,155,0.055,3.416,363,0.062,3.416
,!,000B_Plasma_S1P-3uL_TQC_02,000B_Plasma_S1P-3uL_TQC_02.d,Sample,,5/3/2017 7:05 PM,29031,0.062,3.462,85896,0.061,3.462,15303848,0.069,3.614,4692,0.060,3.518,15677,0.060,3.518,2008,0.064,3.488,4537,0.061,3.488,14661,0.062,3.434,20815,0.064,3.441,33232,0.061,3.464,116417,0.061,3.457,10820,0.061,3.495,35304,0.061,3.495,800,0.065,3.439,3907,0.062,3.432,192,0.058,3.401,423,0.060,3.401
,!,000C_Plasma_S1P-3uL_TQC_03,000C_Plasma_S1P-3uL_TQC_03.d,Sample,,5/3/2017 7:16 PM,26518,0.063,3.470,87322,0.061,3.462,15979013,0.068,3.615,5144,0.060,3.526,15559,0.060,3.526,1928,0.066,3.495,4664,0.061,3.495,13973,0.062,3.441,21516,0.063,3.441,34837,0.061,3.464,105268,0.061,3.464,10008,0.061,3.495,36326,0.061,3.495,769,0.064,3.447,3830,0.062,3.439,131,0.056,3.409,392,0.061,3.409
,!,000D_Plasma_S1P-3uL_TQC_04,000D_Plasma_S1P-3uL_TQC_04.d,Sample,,5/3/2017 7:26 PM,27305,0.062,3.462,76964,0.061,3.462,16206267,0.068,3.615,5015,0.061,3.518,15839,0.060,3.518,1866,0.063,3.495,4368,0.061,3.495,15321,0.061,3.441,22440,0.062,3.441,35123,0.061,3.464,113639,0.061,3.464,11465,0.061,3.495,36131,0.061,3.495,635,0.062,3.439,3987,0.062,3.439,168,0.059,3.409,457,0.063,3.401
,!,000E_Plasma_S1P-3uL_TQC_05,000E_Plasma_S1P-3uL_TQC_05.d,Sample,,5/3/2017 7:36 PM,27502,0.062,3.470,79514,0.061,3.462,14968079,0.069,3.615,5042,0.060,3.526,15825,0.060,3.526,2187,0.065,3.495,4465,0.062,3.495,15337,0.062,3.441,21305,0.063,3.441,36440,0.061,3.464,112985,0.061,3.464,11061,0.061,3.495,36966,0.061,3.495,629,0.061,3.439,3865,0.062,3.439,175,0.059,3.409,451,0.062,3.401
,!,001_Plasma_S1P-3uL_PQC_01,001_Plasma_S1P-3uL_PQC_01.d,Sample,,5/3/2017 7:46 PM,30521,0.062,3.462,94387,0.060,3.462,14337570,0.069,3.615,5161,0.061,3.526,15477,0.060,3.518,2044,0.065,3.495,4687,0.061,3.488,15054,0.062,3.441,22360,0.063,3.441,39070,0.061,3.464,128341,0.061,3.464,12034,0.061,3.495,38625,0.061,3.495,870,0.062,3.439,3856,0.061,3.439,237,0.062,3.401,483,0.062,3.409
,!,002_Plasma_S1P-3uL_PQC_02,002_Plasma_S1P-3uL_PQC_02.d,Sample,,5/3/2017 7:56 PM,26134,0.062,3.470,78792,0.061,3.462,14709874,0.069,3.615,4648,0.061,3.526,14955,0.060,3.526,1943,0.065,3.495,4321,0.061,3.495,13963,0.062,3.441,20456,0.063,3.441,34181,0.061,3.464,114596,0.061,3.464,10917,0.061,3.495,34054,0.061,3.495,764,0.065,3.447,3370,0.062,3.439,146,0.055,3.409,387,0.062,3.409
,!,003_Plasma_S1P-3uL_PQC_03,003_Plasma_S1P-3uL_PQC_03.d,Sample,,5/3/2017 8:06 PM,25939,0.062,3.470,78261,0.061,3.462,14947171,0.069,3.615,4844,0.060,3.526,15351,0.060,3.526,2019,0.065,3.495,4569,0.061,3.495,13948,0.062,3.441,22631,0.062,3.441,34580,0.060,3.464,107938,0.061,3.464,10092,0.061,3.495,33163,0.061,3.495,817,0.065,3.439,3640,0.062,3.439,210,0.064,3.394,354,0.062,3.401
,!,004_Plasma_S1P-3uL_Sample_F16P,004_Plasma_S1P-3uL_Sample_F16P.d,Sample,,5/3/2017 8:17 PM,25009,0.061,3.462,81014,0.061,3.462,14520270,0.071,3.615,4161,0.060,3.526,13156,0.060,3.526,2274,0.064,3.495,4777,0.061,3.488,18599,0.062,3.441,26168,0.063,3.441,40528,0.061,3.464,130595,0.061,3.464,13038,0.061,3.495,45852,0.061,3.495,967,0.063,3.439,5003,0.061,3.439,162,0.053,3.409,437,0.060,3.409
