SAMPLE_ID,Tissue,QC_TYPE,Ga2 18:2;O2/16:0,Ga2 18:2;O2/22:0,Ga2 18:2;O2/24:0,LHex2Cer 18:1;O2,LHexCer 18:1;O2,LysoGb3 18:1;O2,LysoGb3 18:2;O2,LysoGb3(-28),LysoGb3(18),LysoGb3(34),SPBP 16:1;O2,SPBP 17:1;O2,SPBP 18:0;O2,SPBP 18:1;O2,SPBP 18:2;O2,SPBP 19:1;O2,SPBP 20:1;O2
F01A,Serum,SPL,0.14138647337382215,0.06862363499653926,0.08191265637682146,0.00894613662573773,0.02663489586866562,0.3192965199104538,0.05199782918390883,0.00646156977138593,0.03300318838613391,0.01536530764534292,0.13743342817033224,0.04741326679691082,0.2748970343588785,1.523306729059429,0.3995241097106988,0.0416815486416244,0.0042563556387459
F02B,Serum,SPL,0.24730842567460928,0.11188598519511796,0.16089099283944752,0.00464186653613966,0.01657692935225975,0.05473160385054658,0.01694403654756077,0.00200685266764561,0.00758688203622124,0.00194974710393212,0.1854628637185599,0.060308592479393,0.337776912297217,1.774396038139076,0.5107341016473529,0.05568961753016069,0.00729733684037481
F03C,Serum,SPL,0.05166629141668487,0.03935238337412063,0.03374922944999087,0.00615073185923388,0.01293297345928925,0.14023841655420602,0.02052839198588186,0.00272554363559292,0.0165057614450327,0.00740510052250943,0.1143227000544366,0.03431789390101923,0.21107559719094587,1.4304375476320088,0.36575951859582456,0.03427648008859358,0.0050315868263473
F04D,Serum,SPL,0.06443690654216971,0.0495000495000495,0.04055530371319845,0.0045068928950159,0.01995791357370095,0.04568199893955461,0.01109325291622481,0.00186406415694591,0.00558390774125132,0.00202975874867444,0.1991771957394796,0.07048987100598589,0.38571496756880286,1.9720404225598045,0.5291741411173928,0.0636066951395732,0.0092687620045399
F05E,Serum,SPL,0.1052143545106528,0.06430563549900743,0.04980815963874013,0.00516539890323721,0.01632761365646559,0.04257031664602866,0.00722625154785069,0.00159207500442243,0.00630638598973996,0.00275959667433221,0.187687636256986,0.05618854925394077,0.27842855781872816,1.4246278510094013,0.3788985394766696,0.05096432063836795,0.00521779446988089
F06F,Serum,SPL,0.08052348788126834,0.06300217338858494,0.02050366589569332,0.00247055032403594,0.01986286655447743,0.00330301836800458,5.281248881091339e-4,1.9692792437967703e-4,3.938558487593541e-4,0.0011547137384081,0.19750935753396107,0.07205189319630426,0.342898267585735,1.931635192588242,0.4889781388883157,0.07820313209059034,0.00729247077546844
F07G,Serum,SPL,0.2802262189840526,0.05095022163346411,0.03373730891945596,0.00892490000373817,0.019130125976599,0.3396601996187059,0.06041830211954693,0.00822399162648125,0.04019475907442712,0.01407424021531905,0.1205249795409376,0.04991031098197781,0.2491045401514206,1.60865279607186,0.4104808567956014,0.04342828214459648,0.00430881883013132
F08H,Serum,SPL,0.05590410077898574,0.06383964050820619,0.06774818992707594,0.00265985370804605,0.02214503202323872,0.00447100409477478,7.262100584467854e-4,1.574913379764113e-4,4.812235327057013e-4,0.0014174220417877,0.2340728179466806,0.06121613605963493,0.312673407127504,1.4777764323026727,0.4563167684166649,0.05144205275066651,0.00825268033743005
F09I,Serum,SPL,0.08219172808589517,0.07713895791668031,0.06484388383825745,0.00405124506851058,0.02804055487209943,0.06022780299495185,0.01277945106689857,0.00223289657553132,0.00849488821957324,0.00267254910278708,0.21463615727084517,0.07137547293712705,0.3604953936346704,1.8472737033033475,0.5237179097743344,0.06214055359404861,0.00640220039940638
F10J,Serum,SPL,0.3497494866628662,0.06531466317198105,0.0692475891264229,0.00490376138701146,0.01734682632970908,0.05817477225977079,0.01501432559506317,0.00138664413752571,0.00641896855715545,0.00308551278283867,0.1560119125795198,0.052938052890536,0.2546772826981345,1.526797578493741,0.4490426185218117,0.04411808591756846,0.00656441617073671
F11K,Serum,SPL,0.1841759122054298,0.04571947076673551,0.02956621926555451,0.00580925261899739,0.0179814385150812,0.1467956830485833,0.04244885045349082,0.00326935245728749,0.01060781832243549,0.00511495465091752,0.225758702487906,0.05815316366497453,0.2475588178657774,1.3156612370421563,0.4975703968886781,0.05044021367925908,0.00681222874913614
F12L,Serum,SPL,0.1320078513060969,0.0983439579930808,0.10420677087343758,0.00564349225816342,0.01397938065307373,0.05982676682508048,0.0152632990955082,0.00185880729725586,0.0051835811743063,0.00273072206040165,0.31931377699708574,0.08427109735897031,0.344278036959126,1.6273217833047229,0.4659932077093936,0.07549462960514153,0.00643374785420575
F13M,Serum,SPL,0.13053106837451692,0.08013798998656735,0.09630998075863138,0.00359156063778386,0.01593654372684812,0.02583346754710903,0.00523433725237558,5.073280721533258e-4,0.00293122886133032,0.00239974230955065,0.12300552357672292,0.03347495665530537,0.23385767086094153,1.1993963866109447,0.41310943063208,0.02724867783435138,0.00460602428639015
F14N,Serum,SPL,0.01968449432913513,0.04194311483977255,0.03376647873382411,0.00449041031018502,0.01747961979501403,0.00372086730034164,6.25782227784731e-4,1.0147819910022664e-4,6.42695260968102e-4,0.00169130331833711,0.2936171584158416,0.0635807358378196,0.2917556523561266,1.683522089108911,0.5117341709445548,0.06246238993627519,0.00559418316831683
F15O,Serum,SPL,0.06156295754699346,0.03646586335536198,0.07121568608223636,0.00440202963809267,0.0153482979938842,0.00484727309385396,6.88867233441984e-4,2.2682213784065323e-4,6.720655936019355e-4,0.00187338284216539,0.27911036314124793,0.06581675711739406,0.2680224976131427,1.511924252828848,0.4267281395112696,0.05924588308395405,0.00578686467195507
F16P,Serum,SPL,0.16098974473319042,0.0734695575333382,0.16098974473319042,0.00291389569478473,0.02009100455022751,0.00363143157157857,7.17351917220861e-4,7.875393769688484e-5,5.425271263563178e-4,0.00103255162758137,0.16537384930105692,0.05601913560158495,0.33517112296165263,1.935905400613706,0.5639041525319088,0.06432720497849272,0.00512125468803273
F17Q,Serum,SPL,0.05841904410258486,0.04789057203943958,0.04211388825258111,0.00526041666666666,0.01723090277777778,0.00416666666666666,0.00105034722222222,2.517361111111111e-4,3.125e-4,0.00119377477430555,0.231062067517929,0.06964914550316503,0.38114232247160823,1.9023392566031136,0.7363542747120845,0.06240625329337829,0.00830174042329893
F18R,Serum,SPL,0.06801019343256329,0.03967261283566192,0.04258971672063706,0.00375659943143359,0.02069514011100582,0.00486496547989711,0.00132077991657641,1.1845133342358197e-4,4.145796669825369e-4,0.00155678895356707,0.2764619049371584,0.09214985529456392,0.3516396574268074,1.893561544265131,0.5231082951225373,0.07769193810195753,0.00543211269160701
F19S,Serum,SPL,0.08497752674821264,0.07268882574506047,0.08265890391742921,0.00427572358399113,0.02310968009970918,0.00464790195263813,5.36629275723584e-4,5.19318653926049e-5,7.270461154964686e-4,0.00138484974380279,0.213228908754511,0.06540379233239522,0.30577454132889803,1.815034891644837,0.5257715026552191,0.06030418767104195,0.00708915898807452
F20T,Serum,SPL,0.0677825400952133,0.05154297319740177,0.03848071286655338,0.00382183636878361,0.01885753829700229,0.004112799219905,1.41549495140134e-4,1.730049385046082e-4,4.796955113082319e-4,0.00204460381869082,0.22245211947475496,0.04866118544555724,0.2840646114788858,1.574450162751988,0.44701592598416967,0.04511142529051232,0.00420558165341224
F21U,Serum,SPL,0.13692788939208875,0.0906011088268853,0.0655318699767277,0.00619883734725352,0.01441452129552734,0.05616522323723653,0.017785818800174,0.00230496107189464,0.00570451219994463,0.00365800609008581,0.24145732420854665,0.0575338226504939,0.21278460212763148,1.2858833141782466,0.39960121091167977,0.04685153410315974,0.00483168947863337
F22V,Serum,SPL,0.14816750914946938,0.07102136542344836,0.02684477298574378,0.00679968589377498,0.02300471159337521,0.18625071387778416,0.03370395488292404,0.00437250142775556,0.02384351798972016,0.00836129354654483,0.1135978219188588,0.03429941603804266,0.25498030641634867,1.3307904839328168,0.3925447670689885,0.03331202467223636,0.00511990183296265
