lipidClass,lipidClassBase,Tissue,FC,log2FC,absFC,CV,p_value,na.rm,FDR
CE,CE,PLT,1.078826876947506,0.1094633691739841,1.078826876947506,0.4634055858036849,0.7316976029314691,TRUE,0.8314745487857604
CE,CE,Plasma,0.9466323629532137,-0.07912384989327798,0.9466323629532137,0.16929007689043046,0.6129121148220357,TRUE,0.9716736009185555
DE,DE,Plasma,0.9745330004267801,-0.0372170548675555,0.9745330004267801,0.20444511341432353,0.9241058424931891,TRUE,0.9794784746158622
DG,DG,PLT,1.3528022078492246,0.4359509194218349,1.3528022078492246,0.33953339946370376,0.06601859763200058,TRUE,0.16154336853060872
DG,DG,Plasma,1.2573680231978646,0.3304069787423915,1.2573680231978646,0.6048796565912167,0.31377759585949244,TRUE,0.7216884704768326
Ga2 O2,GSL,Serum,1.4320721236398266,0.5181041530751176,1.4320721236398266,0.34276677529848093,0.03730437043285738,TRUE,0.046630463041071726
LPC,LPC,PLT,1.005705844181638,0.008208397393207655,1.005705844181638,0.2929585613955552,0.8004673626550518,TRUE,0.8366385265043927
LPC,LPC,Plasma,0.8779756296477181,-0.18774720008611256,0.8779756296477181,0.1388683633619588,0.033984517989557775,TRUE,0.16333901477886012
LPE,LPE,PLT,1.1103792882888903,0.15105256294092959,1.1103792882888903,0.3485030377651484,0.9459921054636549,TRUE,0.9459921054636549
LPE,LPE,Plasma,0.9468488491935265,-0.078793956335658,0.9468488491935265,0.30244347837236984,0.522732021954205,TRUE,0.9248335773035934
LPS,LPS,Plasma,0.898898008508057,-0.1537706620919453,0.898898008508057,0.19893139349261027,0.26721697148244006,TRUE,0.68288781601068
LTotal Hex2Cer,GSL,PLT,0.7604686946161048,-0.39503923556572584,0.7604686946161048,0.6097842583373172,0.6437705948772374,TRUE,0.8024574462135413
LTotal Hex2Cer,GSL,Serum,1.754018917556338,0.8106643077128267,1.754018917556338,0.2586655589541224,9.545176730381736e-5,TRUE,2.386294182595434e-4
LTotal HexCer,GSL,PLT,1.1219553259864894,0.16601523186391995,1.1219553259864894,0.2785024925897933,0.2524991213240333,TRUE,0.40144623892886133
LTotal HexCer,GSL,Serum,1.02047910908789,0.029246648295376144,1.02047910908789,0.28548621012201036,0.9474526894756926,TRUE,0.9474526894756926
LTotal SM,SM,PLT,0.7880439805797977,-0.3436519464319101,0.7880439805797977,0.20650228408077945,0.07607749305655775,TRUE,0.16154336853060872
LysoGb3 O2,LGSL,PLT,2.13828205995943,1.096452170955861,2.13828205995943,0.500646872497154,0.006994933242561809,TRUE,0.06609649475553085
LysoGb3 O2,LGSL,Serum,30.011539471138956,4.907445420168546,30.011539471138956,0.7082278084953374,6.049101932368657e-7,TRUE,3.024550966184329e-6
PC,PC,PLT,1.1015997944388032,0.13960019537514173,1.1015997944388032,0.11212945172495815,0.081997862424721693,TRUE,0.16154336853060872
PC,PC,Plasma,0.9839146624908536,-0.02339490263603871,0.9839146624908536,0.15241911087249962,0.7210903593800151,TRUE,0.9794784746158622
PE,PE,PLT,1.145836446747769,0.1964011328338723,1.145836446747769,0.13732707154826945,0.06394675393621467,TRUE,0.16154336853060872
PE,PE,Plasma,0.9674252145951554,-0.04777795477019108,0.9674252145951554,0.35964842189739066,0.8895860694099599,TRUE,0.9794784746158622
PG,PG,PLT,1.1724373321914112,0.2295108114801889,1.1724373321914112,0.10022721304362249,0.0033973115829525375,TRUE,0.06609649475553085
PG,PG,Plasma,0.8336127986765849,-0.26255066702442914,0.8336127986765849,0.31471342744361347,0.4188453760424925,TRUE,0.8757676044524842
PI,PI,PLT,1.1848113320078304,0.24465734431579736,1.1848113320078304,0.14073001019334608,0.013516378018108581,TRUE,0.08447736261317863
PI,PI,Plasma,0.9873946731797842,-0.018301232872803257,0.9873946731797842,0.22994036628576928,0.9741703002822453,TRUE,0.9794784746158622
PS,PS,PLT,0.9805693139852498,-0.028308480371657948,0.9805693139852498,0.05884130436743212,0.6740642548193747,TRUE,0.8024574462135413
PS,PS,Plasma,1.2516227515728946,0.32379978874984394,1.2516227515728946,0.24691904020200445,0.03550848147366525,TRUE,0.16333901477886012
TG,TG,PLT,1.5075319510788254,0.5921885793555336,1.5075319510788254,0.370964679103497,0.03151255221489753,TRUE,0.13130230089540637
TG,TG,Plasma,0.9232633696554434,-0.11518584582804134,0.9232633696554434,0.923605714157398,0.8557827092793276,TRUE,0.9794784746158622
Total CAR,CAR,PLT,1.6172328744976892,0.6935274355789957,1.6172328744976892,0.3409965744406436,0.007931579370663702,TRUE,0.06609649475553085
Total CAR,CAR,Plasma,1.1859972198603121,0.24610062801339241,1.1859972198603121,0.3235728309676046,0.23955734561784395,TRUE,0.68288781601068
Total Cer d,Cer,PLT,1.0731882261167016,0.10190313207761746,1.0731882261167016,0.1255692651832068,0.25692559291447126,TRUE,0.40144623892886133
Total Cer d,Cer,Plasma,0.8455888815740034,-0.24197168766002977,0.8455888815740034,0.32710926718728606,0.20917949142767375,TRUE,0.68288781601068
Total GM3,GSL,PLT,1.1829536300254297,0.24239352334508435,1.1829536300254297,0.2505677777325186,0.16272365980176504,TRUE,0.2905779639317233
Total GM3,GSL,Plasma,1.295948166042645,0.3740080159936002,1.295948166042645,0.18541360763380108,0.007125655833765969,TRUE,0.05463002805887243
Total Gb3,GSL,PLT,1.0064048715422875,0.009210810768720611,1.0064048715422875,0.6640980461969432,0.803172985444217,TRUE,0.8366385265043927
Total Gb3,GSL,Plasma,1.7344936130928914,0.7945145282137002,1.7344936130928914,0.30922295388728466,3.6181551632610967e-4,TRUE,0.004160878437750261
Total Gb4,Gb4,PLT,1.2361113142348161,0.30580866659463285,1.2361113142348161,0.8231187506500365,0.45096425228100245,TRUE,0.5964305687655198
Total Gb4,Gb4,Plasma,1.1748923614154443,0.2325285893303477,1.1748923614154443,0.13797616954887057,0.052111911078468826,TRUE,0.19976232580079717
Total Hex2Cer,GSL,PLT,1.1448206682637325,0.19512162341448794,1.1448206682637325,0.4290161700523051,0.453287232261795,TRUE,0.5964305687655198
Total Hex2Cer,GSL,Plasma,1.02822424804139,0.04015493987795825,1.02822424804139,0.07671719223319205,0.4748448370344742,TRUE,0.9101192709827423
Total HexCer,GSL,PLT,1.06005054965606,0.08413306290099304,1.06005054965606,0.15008907749678793,0.4205349872427673,TRUE,0.5964305687655198
