lipidClass,Gender,lipidClassBase,Tissue,FC,log2FC,absFC,CV,p_value,FDR
CE,M,CE,PLT,1.2364413290525742,0.30619378336463915,1.2364413290525742,0.5778037262488119,0.6766402754556418,0.7689094039268657
CE,M,CE,Plasma,0.9247603848725211,-0.11284849827292544,0.9247603848725211,0.18015018919002734,0.4488820037093389,0.7356893946951575
DE,M,DE,Plasma,0.8710250855129529,-0.19921382586347075,0.8710250855129529,0.219032986277307,0.3244951966968462,0.7356893946951575
DG,M,DG,PLT,1.3841387718281641,0.46898859282421357,1.3841387718281641,0.4239652668559111,0.3570287259728916,0.5950478766214861
DG,M,DG,Plasma,1.272534152892505,0.34770437657401354,1.272534152892505,0.40856893590276866,0.4083761280642194,0.7356893946951575
Ga2 O2,M,GSL,Serum,1.393471133588554,0.4786831166433791,1.393471133588554,0.3862250573049689,0.2893007928161217,0.36162599102015214
LPC,M,LPC,PLT,0.9439626797296773,-0.08319827219986706,0.9439626797296773,0.4046182886681502,0.6309386600541753,0.7511174524454468
LPC,M,LPC,Plasma,0.8451690350093602,-0.2426881835737898,0.8451690350093602,0.1403070063018575,0.09464786472625858,0.4353801777407894
LPE,M,LPE,PLT,1.098449482702453,0.135468522259586,1.098449482702453,0.5797200347087028,0.7624042190608329,0.794171061521701
LPE,M,LPE,Plasma,0.9423508213646927,-0.08566384394540816,0.9423508213646927,0.28861343769550674,0.6451478730401605,0.8607781380310748
LPS,M,LPS,Plasma,0.9052001514711537,-0.14369126886998068,0.9052001514711537,0.20121716351938904,0.47979743132292874,0.7356893946951575
LTotal Hex2Cer,M,GSL,PLT,0.759747055109336,-0.3964089172258617,0.759747055109336,0.6490698614717261,0.5842222236035386,0.7302777795044233
LTotal Hex2Cer,M,GSL,Serum,1.8204663706904047,0.8643080902543848,1.8204663706904047,0.22957055082470834,0.012251437393510122,0.026809936842942424
LTotal HexCer,M,GSL,PLT,1.0966171525963948,0.1330599446530817,1.0966171525963948,0.2077146677911317,0.5225592391873337,0.725776721093519
LTotal HexCer,M,GSL,Serum,1.05553576897332,0.07797546816500087,1.05553576897332,0.29515168910434575,0.7745612403483368,0.7745612403483368
LTotal SM,M,SM,PLT,0.7345751699067595,-0.4450179639386841,0.7345751699067595,0.29788292113581455,0.3141154748892787,0.5808462162297368
LysoGb3 O2,M,LGSL,PLT,2.9086309933950485,1.5403402789864982,2.9086309933950485,0.5352373245171445,0.09475008302594218,0.34708580350944146
LysoGb3 O2,M,LGSL,Serum,44.34123936802091,5.470577189971,44.34123936802091,0.446491240212757,4.492241782622719e-4,0.0022461208913113592
