lipidClassSL,Gender,Tissue,FC,log2FC,absFC,CV,p_value,FDR,lipidClass
LTotal Hex2Cer 18:1;O2,M,PLT,0.759747055109336,-0.3964089172258617,0.759747055109336,0.6490698614717261,0.5842222236035386,0.7366280210653313,NA
LTotal Hex2Cer 18:1;O2,M,Serum,1.8204663706904047,0.8643080902543848,1.8204663706904047,0.22957055082470834,0.012251437393510122,0.02144794947435394,NA
LTotal HexCer 18:1;O2,M,PLT,1.0966171525963948,0.1330599446530817,1.0966171525963948,0.2077146677911317,0.5225592391873337,0.7366280210653313,NA
LTotal HexCer 18:1;O2,M,Serum,1.05553576897332,0.07797546816500087,1.05553576897332,0.29515168910434575,0.7745612403483368,0.7745612403483368,NA
LTotal SM 18:1;O2,M,PLT,0.7345751699067595,-0.4450179639386841,0.7345751699067595,0.29788292113581455,0.3141154748892787,0.5209030323275682,NA
LysoGb3,M,PLT,2.9086309933950485,1.5403402789864982,2.9086309933950485,0.5352373245171445,0.09475008302594218,0.4650392726538999,NA
LysoGb3,M,Serum,44.34123936802091,5.470577189971,44.34123936802091,0.446491240212757,4.492241782622719e-4,0.0017968967130490875,NA
SPB O2,M,PLT,1.7723887250537438,0.8256950543463423,1.7723887250537438,0.44476681024086623,0.2085627723849111,0.5209030323275682,NA
SPB O2,M,Plasma,0.943358778203402,-0.08412153385538947,0.943358778203402,0.21801587538054745,0.7582807407759526,0.8258597080956639,NA
SPBP O2,M,PLT,1.267893533586409,0.3424336058750736,1.267893533586409,0.11571351449042912,0.04088135077051785,0.46105279486769213,NA
SPBP O2,M,Plasma,0.7790096765231277,-0.36028684595186233,0.7790096765231277,0.05127799773126779,6.156678388921523e-4,0.017238699488980266,NA
SPBP O2,M,Serum,0.7212491976422247,-0.4714302860626596,0.7212491976422247,0.05335003111223172,0.016085962105765454,0.02144794947435394,NA
Total Cer 16:0;O2,M,PLT,0.48208728712939336,-1.052633709204652,0.48208728712939336,0.3829130986097093,0.06359348894726788,0.46105279486769213,NA
Total Cer 16:0;O2,M,Plasma,0.22924803908765257,-2.1250187013532633,0.22924803908765257,1.12507093786583,0.03264264702528966,0.09139941167081105,NA
Total Cer 16:1;O2,M,PLT,1.0171861561334206,0.024583732247250845,1.0171861561334206,0.20749870452666136,0.7654809897323864,0.8879579480895682,NA
Total Cer 16:1;O2,M,Plasma,0.5331588561405832,-0.9073626429154916,0.5331588561405832,0.33202565521714417,0.023901847573540743,0.0836564665073926,NA
Total Cer 17:1;O2,M,PLT,0.884062910090504,-0.1777790591549734,0.884062910090504,0.18678258504205428,0.5576537830152425,0.7366280210653313,NA
Total Cer 17:1;O2,M,Plasma,0.7451143493526458,-0.4244662483935761,0.7451143493526458,0.26024595443648374,0.18177314317701723,0.2993910593503813,NA
Total Cer 18:0;O2,M,PLT,1.2119318169405797,0.27730853533832994,1.2119318169405797,0.15521851279543172,0.14479400399761752,0.5209030323275682,NA
Total Cer 18:0;O2,M,Plasma,0.4971570693094361,-1.0082263732525096,0.4971570693094361,0.2927365890109252,0.13304741021111516,0.2660948204222303,NA
Total Cer 18:1;O2,M,PLT,1.1057468493262637,0.14502113148110565,1.1057468493262637,0.07299283736623047,0.323319123513663,0.5209030323275682,NA
