Compound,lipidClassBase,Tissue,FC,log2FC,absFC,CV,p_value,FDR_BH,FDR,lipid_class
Cer 16:0;O2/24:0,Cer,PLT,0.48208728712939336,-1.052633709204652,0.48208728712939336,0.3829130986097093,0.06359348894726788,0.4257998825164893,0.20334789387287522,SL
Cer 16:0;O2/24:0,Cer,Plasma_Serum,0.22924803908765257,-2.1250187013532633,0.22924803908765257,1.12507093786583,0.03264264702528966,0.12181280475291022,0.04937925851459053,SL
Cer 16:1;O2/16:0,Cer,PLT,1.0567136127194414,0.07958443491137686,1.0567136127194414,0.22281588109496483,0.6334245255929473,0.780379015530511,0.3726831212185032,SL
Cer 16:1;O2/16:0,Cer,Plasma_Serum,0.6620753817727454,-0.5949326078875733,0.6620753817727454,0.3691668508291887,0.14019891097625847,0.32015572208011267,0.12978152992689868,SL
Cer 16:1;O2/18:0,Cer,PLT,1.6442435285737558,0.7174239921133473,1.6442435285737558,0.38020073502202184,0.12549997728582007,0.5086051711056918,0.2428929518391557,SL
Cer 16:1;O2/18:0,Cer,Plasma_Serum,0.7451153975391512,-0.42446421888976765,0.7451153975391512,0.42415021221526167,0.3854669080172667,0.5511816535200169,0.22343251526694813,SL
Cer 16:1;O2/20:0,Cer,PLT,1.2549303458147745,0.32760729044189335,1.2549303458147745,0.18081676599371926,0.18816177122496527,0.5263186189047202,0.25135230669353387,SL
Cer 16:1;O2/20:0,Cer,Plasma_Serum,0.7668804159431248,-0.3829264673239507,0.7668804159431248,0.3615037970804934,0.3217126425208247,0.4873468743137246,0.19755580984962204,SL
Cer 16:1;O2/22:0,Cer,PLT,0.9309818394243136,-0.10317506934606778,0.9309818394243136,0.20573102283419276,0.8322790190133639,0.8915316684607132,0.42576593969688553,SL
Cer 16:1;O2/22:0,Cer,Plasma_Serum,0.5294167205787667,-0.9175243346684641,0.5294167205787667,0.2734839430404278,0.011462472852478867,0.07971628847405757,0.03231459307064449,SL
Cer 16:1;O2/23:0,Cer,PLT,0.7836294724281442,-0.3517564362732742,0.7836294724281442,0.3345405388927299,0.4991263573713415,0.7320519908113008,0.34960373792766075,SL
Cer 16:1;O2/23:0,Cer,Plasma_Serum,0.46903366223378806,-1.0922366271680441,0.46903366223378806,0.5234676176453821,0.06427506009664419,0.20487675405805333,0.08305089290722623,SL
Cer 16:1;O2/24:0,Cer,PLT,0.8678842499546663,-0.20442545216205965,0.8678842499546663,0.14943883120485477,0.6659604493016505,0.8139516602575729,0.3887163022439253,SL
Cer 16:1;O2/24:0,Cer,Plasma_Serum,0.4606016871863622,-1.1184083991475293,0.4606016871863622,0.2996942276678603,0.007009368970149048,0.06383318865885627,0.02587606065708776,SL
Cer 16:1;O2/24:1,Cer,PLT,1.045238238453782,0.06383180954338058,1.045238238453782,0.18522852079514127,0.6055617836399465,0.7753550569717861,0.3702838453291264,SL
Cer 16:1;O2/24:1,Cer,Plasma_Serum,0.6622466564377602,-0.5945594401774621,0.6622466564377602,0.3251261772402277,0.15491998556782963,0.32920496933163795,0.13344982342282397,SL
Cer 17:1;O2/16:0,Cer,PLT,1.3755666479759703,0.46002604178063666,1.3755666479759703,0.12344506922748703,0.060545351231939916,0.4238174586235794,0.20240115400765024,SL
Cer 17:1;O2/16:0,Cer,Plasma_Serum,1.0036309087839148,0.00522880716962599,1.0036309087839148,0.4675951694338079,0.9009811847863799,0.9314197383264603,0.37756963348564343,SL
Cer 17:1;O2/18:0,Cer,PLT,1.0695447846811816,0.09699689324135849,1.0695447846811816,0.35786142935558973,0.5875440571511757,0.7753550569717861,0.3702838453291264,SL
Cer 17:1;O2/18:0,Cer,Plasma_Serum,0.8981255278722429,-0.15501099537479318,0.8981255278722429,0.2756155698119496,0.9291721271411655,0.9509058934036907,0.3854687364655457,SL
Cer 17:1;O2/20:0,Cer,PLT,0.9814000869813435,-0.02708669561536989,0.9814000869813435,0.3111035878907061,0.8499248360647188,0.9022670534976548,0.43089280334061114,SL
Cer 17:1;O2/22:0,Cer,PLT,0.854895264416331,-0.2261804126229996,0.854895264416331,0.10750810438827142,0.3212657397820684,0.6077381976310089,0.2902355956135735,SL
Cer 17:1;O2/22:0,Cer,Plasma_Serum,0.6036903726490348,-0.7281193009294428,0.6036903726490348,0.38423998501133017,0.09396598705844583,0.26763972296270383,0.10849311856628117,SL
Cer 17:1;O2/24:0,Cer,PLT,0.7417755628957048,-0.4309453545065372,0.7417755628957048,0.10426970571611931,0.10891481145842498,0.46591336012770684,0.2225047596285673,SL
Cer 17:1;O2/24:1,Cer,PLT,0.9277058327214656,-0.10826068280235401,0.9277058327214656,0.34689340992760787,0.7203902939033947,0.827911233291961,0.39538293108170447,SL
Cer 17:1;O2/24:1,Cer,Plasma_Serum,0.7975290159094109,-0.32639108654640214,0.7975290159094109,0.1686835168809715,0.29783375815369767,0.4649853571175076,0.18849112128383252,SL
